run,lumisection,evt,mu1pt,mu1eta,mu1phi,mu1en,mu2pt,mu2eta,mu2phi,mu2en,mu3pt,mu3eta,mu3phi,mu3en,chi2
283820,916,1619302563,12.9945,-1.21708,2.12434,23.8671,5.47002,-1.43159,2.31512,12.1009,4.33176,-1.44001,2.1097,9.65532,13.5131
283820,917,1621021502,6.50754,1.0902,0.462748,10.7738,4.72951,1.46399,0.817249,10.7708,3.59475,1.29827,1.05561,7.07516,25.8871
283820,917,1621198009,26.7003,-2.16603,1.17836,117.991,3.17726,-2.11092,1.20149,13.3083,3.13915,-1.94989,1.20272,11.2547,5.77966
283820,917,1620749215,6.27387,1.82542,0.70487,19.9718,5.77656,1.73326,0.717623,16.8557,4.03432,1.56647,0.571415,10.0833,8.16169
283820,917,1621934860,11.7247,-0.330435,-0.0424748,12.3711,8.63763,0.0684273,0.264284,8.6585,5.44577,0.0964214,0.0848576,5.47213,15.9028
283820,917,1620435060,6.15987,1.43468,-1.6794,13.6646,5.02223,1.22433,-1.62461,9.28128,4.1449,1.32849,-1.36245,8.37383,61.2736
283820,918,1623122257,11.3317,1.5965,3.07005,29.1133,9.52591,1.44077,-3.02535,21.2463,3.17184,1.56049,-2.97148,7.88458,1.80412
283820,918,1623364131,8.84255,-1.12793,-0.623917,15.09,5.58875,-1.2893,-0.469183,10.9145,4.45418,-0.809733,-0.517181,5.99689,389.915
283820,918,1623416584,6.42408,-2.00863,1.25959,24.3708,5.44032,-1.79502,1.16901,16.8264,2.37877,-2.33532,1.45346,12.4051,414.227
283820,918,1623458212,7.17867,1.70257,1.6442,20.3528,7.09139,1.55339,1.55121,17.5124,2.73816,1.36817,1.69368,5.72748,34.9249
283820,918,1623304132,3.99318,-1.65688,-2.27426,10.8493,3.93601,-1.45592,-2.50422,8.89922,2.98983,-1.8398,-1.85874,9.64893,178.99
283820,918,1622810923,6.7558,-1.68377,-1.38332,18.8202,4.16629,-1.37767,-1.48198,8.78699,3.3698,-1.57076,-1.74206,8.45584,20.6359
283820,918,1622924079,14.8536,1.48952,0.476205,34.6123,6.57113,1.61654,0.567261,17.1977,2.59392,1.40831,0.586099,5.62149,4.42696
283820,919,1624657753,15.0561,1.09685,1.38813,25.0583,8.65386,1.00181,1.40606,13.3725,4.93551,1.16949,1.99221,8.714,717.011
283820,919,1625710488,7.53519,1.68645,2.48529,21.044,4.85149,1.46375,2.2,11.0461,4.39883,1.47458,2.67521,10.1137,25.7076
283820,919,1624496728,7.47572,1.5045,2.86234,17.6581,4.21857,1.42909,2.75703,9.31186,3.25649,1.63675,2.88018,8.68421,36.1198
283820,919,1624010392,8.9854,1.58477,-2.60432,22.8374,6.686,1.49492,-2.97837,15.6565,4.81134,1.41051,-2.83598,10.4461,18.8048
283820,920,1626878322,5.87663,-0.282565,-1.36448,6.11371,5.63371,-0.370308,-1.53926,6.02534,4.59377,-0.212541,-1.2535,4.69911,3.51498
283820,920,1626241172,7.94559,-0.388276,-0.0393381,8.55273,5.24216,-0.582695,0.295872,6.15848,5.16929,-0.382314,0.0653702,5.5527,711.751
283820,920,1627163448,7.00566,1.31515,-2.58239,13.9898,4.73935,1.60175,-2.46527,12.2356,3.07462,1.78202,-2.18539,9.39379,2.93972
283820,920,1626634344,7.60158,1.43812,0.346051,16.9144,3.63192,1.37721,0.137499,7.65704,3.18959,1.75823,0.255504,9.52868,8.36419
283820,920,1626457888,6.59886,-1.6479,-0.611166,17.7794,3.94404,-1.4835,-0.730682,9.1413,3.25806,-1.47763,-0.9931,7.51178,16.2329
283820,972,1718374817,10.1548,-1.45607,-0.668355,22.9613,9.33753,-1.05113,-0.183455,14.9891,8.09363,-1.18868,-0.294928,14.5179,3008.14
283820,972,1717472129,3.67446,1.70668,0.212882,10.4582,3.51713,1.9394,0.432061,12.4834,2.15191,2.34599,0.579832,11.3403,7.78154
283820,972,1717991540,17.0449,-0.117335,-2.12913,17.1627,16.4522,-0.365162,-1.86454,17.5616,8.60958,-0.18426,-2.12093,8.75679,37.4716
283820,973,1718657163,10.6607,-1.37954,1.9193,22.5198,9.23244,-1.46691,2.00527,21.0801,3.27153,-1.60369,2.10599,8.46163,10.8974
283820,973,1719099072,4.84501,1.59738,-2.7216,12.4582,4.47794,1.36765,-2.65797,9.3613,3.66845,1.50716,2.87096,8.68651,0.24477
